Reviewer ID,Paper ID,Originality,Significance,Correctness,Experiments,Reproducibility,Clarity,Overall
QzCq,706,3,3,3,0,4,4,6
wS5R,460,2,2,3,3,3,3,6
48RS,324,3,3,2,0,1,1,4
ztra,714,3,3,3,3,3,4,7
kVcD,320,3,2,3,2,3,4,4
TPax,217,3,3,3,3,3,3,6
G5FF,719,3,3,4,4,3,4,8
E5UL,520,2,2,3,2,3,3,4
L7rW,71,3,3,3,2,3,3,5
oqSy,83,1,2,3,3,3,3,4
did1,671,3,2,3,3,3,3,6
BE8X,237,2,2,3,2,3,3,5
d7HP,214,2,2,3,2,3,3,4
Xn3F,220,2,2,2,0,2,2,4
hbeB,147,3,3,3,3,4,4,6
9mn4,324,3,2,3,0,4,3,6
sgYP,388,3,2,3,2,3,3,5
E23d,47,2,2,2,2,2,2,4
e2ig,137,2,1,2,1,1,1,3
ZoCp,707,2,2,2,3,2,2,4
82m4,226,3,3,3,4,3,3,7
29Ce,368,1,1,1,2,4,2,3
JUT1,19,1,1,3,2,2,4,3
yTV1,729,2,2,2,2,2,2,6
rnUf,68,3,2,3,3,3,3,4
L3Tq,711,2,1,4,2,3,3,3
KUud,555,3,3,2,3,3,3,5
UpHM,33,2,2,2,0,3,2,4
hrLH,128,3,2,3,2,3,3,5
VdFi,298,3,3,3,3,3,3,3
FHbV,303,3,3,3,3,3,3,6
BTW5,148,2,2,2,0,3,3,4
oon4,106,2,3,3,2,3,3,5
3cqN,670,2,2,2,2,2,2,4
YQeE,104,2,2,3,2,3,2,5
aFz5,463,2,2,1,2,2,1,3
WYMs,104,2,2,2,2,2,3,4
o3Qk,374,3,2,3,2,3,3,4
wuEh,481,3,3,4,3,3,4,6
bPfg,236,3,3,3,3,3,3,6
Q6PB,32,3,3,4,3,3,4,7
36HV,381,2,2,4,2,2,4,4
SHCi,623,2,3,3,1,3,3,5
anyA,51,3,3,3,3,3,3,5
2XeJ,635,1,2,3,2,2,2,3
aC9c,222,2,2,3,3,3,2,4
ucoY,164,3,2,3,3,2,3,5
ixUE,319,2,2,3,3,3,4,5
SUBs,593,3,3,3,3,3,3,7
G8rJ,609,3,2,3,3,3,4,7
d9WX,700,2,2,3,2,2,1,3
iWfG,667,1,1,1,1,1,1,3
kjJJ,36,3,3,3,3,4,4,6
4G6n,147,3,3,4,3,4,4,7
qnzU,573,2,2,2,2,3,3,4
JWxD,187,2,3,3,3,3,3,6
yucn,167,2,2,2,2,3,2,3
m2KP,735,1,1,3,1,3,3,3
wdnG,175,2,2,3,1,2,2,3
9TDd,630,3,2,3,2,2,3,4
J6fX,186,3,3,3,3,3,3,6
JXbd,624,3,3,3,3,2,2,4
PYdY,715,2,2,3,2,2,2,5
pHdW,228,3,3,3,3,3,3,6
BmmP,588,1,2,3,4,4,3,4
zfAV,734,3,3,3,2,2,3,4
1VDw,643,1,1,1,2,1,2,3
w6YF,657,2,3,3,3,3,2,5
WBMd,238,3,2,3,0,3,3,4
zqss,701,2,1,3,2,2,2,4
KM3b,42,3,3,3,3,1,2,4
5ABX,289,3,3,3,3,3,3,6
YbF9,494,3,3,3,3,3,2,4
nPcz,330,3,2,3,2,3,2,6
a8oA,724,2,1,3,2,3,3,3
RPE8,202,2,2,1,2,3,3,3
hjt3,261,4,3,2,1,2,2,2
bGZZ,67,2,2,2,3,2,2,3
6XVA,501,3,2,3,3,4,3,6
SiEE,143,1,2,3,0,2,2,6
dki9,626,2,1,2,3,3,3,4
Dx7q,527,3,2,3,3,3,4,6
cU7T,332,2,3,3,2,3,2,4
oANg,354,2,2,1,2,1,1,2
xW1W,388,2,2,3,2,2,3,6
Jshe,82,2,2,2,2,2,2,3
X6hw,215,3,3,3,3,3,3,4
cRTj,367,2,2,2,3,2,3,4
vAKB,4,3,2,3,2,3,3,6
WgXP,696,2,2,3,3,3,3,5
tUHD,564,1,2,3,4,4,3,3
1i96,167,3,3,3,1,2,2,6
1aAe,15,3,2,3,2,3,3,6
tS9z,294,3,3,3,3,3,3,7
czsG,61,3,2,3,2,3,3,6
Fsbo,450,2,3,3,2,3,3,6
mX8B,157,2,2,3,0,3,3,4
TzcA,621,2,2,2,3,2,3,5
qSiu,591,3,3,2,3,2,3,6
PQSj,695,2,3,3,2,3,3,5
irF6,646,3,2,2,3,2,2,5
sS2Z,572,3,3,3,3,3,3,6
qK9C,449,2,3,3,2,2,3,4
jd1r,44,2,2,3,3,3,1,4
uwLV,412,3,3,3,3,3,2,6
okMS,410,3,3,3,3,3,3,7
QXDA,349,3,3,3,3,2,2,5
twfe,55,3,3,2,3,2,2,4
WUgx,135,2,2,4,3,3,3,4
PnFX,374,2,2,2,2,2,1,4
ESbP,549,3,3,3,3,3,3,5
T3nS,391,2,2,2,1,1,2,2
Vqy3,589,2,2,3,3,1,3,3
RrzA,287,3,2,3,3,3,2,5
E4MJ,266,2,3,3,2,3,3,5
KToo,94,2,2,3,3,3,2,3
4Xbj,569,3,3,3,3,3,3,4
Ri1K,255,2,2,3,2,3,3,3
tVpq,420,2,3,3,2,3,3,4
F5My,408,2,2,3,3,2,2,4
oMG7,558,1,1,2,2,1,3,3
UcBQ,409,2,2,2,3,2,2,3
CQd6,668,2,2,3,2,4,3,3
DtjD,553,3,4,3,3,3,3,7
4hW3,239,3,2,3,3,2,3,7
WqJ9,298,2,2,3,3,2,1,3
oHHh,343,3,2,3,2,3,3,6
zwZG,689,3,2,3,3,2,3,5
DW2c,562,2,2,3,3,3,3,6
qy8m,191,2,3,3,2,2,3,4
vamF,211,1,1,1,0,1,1,2
yUmN,579,2,2,3,3,3,3,3
zDCF,530,2,2,3,3,4,3,5
iD5V,648,2,2,4,3,1,3,3
kQkq,328,3,2,3,2,2,2,6
SD6f,93,2,2,2,2,1,1,2
iph7,34,2,2,2,2,3,2,3
kUht,701,3,3,3,3,2,3,6
rs1P,704,3,3,3,4,3,4,7
9xjE,482,3,2,3,3,4,4,8
H9M5,117,2,2,2,3,4,2,4
Mttz,55,2,2,3,3,2,1,4
pRZb,522,2,2,2,2,1,1,5
zR2g,652,3,3,3,3,3,4,6
21Ts,297,1,2,2,3,3,1,3
xrTq,75,3,1,3,3,2,3,4
yh47,219,3,3,3,3,3,3,7
r5a2,201,3,3,3,3,4,3,8
RXQH,173,2,1,3,2,3,3,3
Hcj9,2,3,3,3,3,2,4,5
Yyei,700,1,1,3,2,3,2,2
e31M,281,3,3,3,2,2,2,4
JpJi,233,3,2,3,3,3,3,7
mg9s,371,2,3,3,3,3,3,7
DXyA,420,1,1,2,2,2,2,3
4ZVs,665,3,2,3,0,3,2,5
yjjC,661,2,2,3,2,2,3,6
RAjx,390,1,1,1,0,1,1,1
ZEPG,122,3,2,4,3,3,4,7
VQbP,199,2,2,2,2,3,1,4
Z4GT,432,2,3,2,1,2,2,4
w1yT,401,2,2,3,3,3,3,5
y5JZ,227,2,2,3,2,3,3,3
tBHj,11,3,3,4,4,3,4,7
vYy3,585,2,2,3,3,2,3,4
EsZo,616,3,3,3,2,3,3,6
EJ9D,320,2,2,3,2,3,2,4
EdTw,424,2,2,3,3,3,4,6
62js,530,2,2,3,3,4,3,7
dWEL,604,3,3,3,2,3,3,6
d9Bo,224,3,2,3,2,3,2,3
MjJF,435,1,2,1,2,2,1,3
CkYM,743,1,1,2,1,3,3,3
B9Pw,258,3,3,3,3,3,3,6
Fo8q,414,3,3,3,3,3,3,7
aQyB,538,3,3,3,3,3,3,6
bW28,604,2,3,4,3,2,4,7
X8kv,607,3,4,3,3,2,4,7
x984,670,3,3,3,3,3,4,8
q3AE,307,2,2,3,3,3,4,6
BmiF,396,2,2,3,3,3,4,6
fV8R,335,3,2,3,3,2,2,6
CY9V,375,2,2,3,3,3,3,6
FQrf,708,2,2,3,3,2,3,6
RGqL,120,3,3,3,3,4,4,7
aaJk,489,3,3,3,3,3,4,9
5Ef9,592,2,2,3,3,3,4,5
YVex,33,2,2,3,2,1,2,3
QnPM,440,2,2,2,2,3,1,4
zjEC,690,2,2,3,0,3,3,6
ipRL,581,3,3,3,0,3,3,7
qs5A,53,3,3,3,3,3,4,8
iU7J,290,3,3,3,3,2,3,6
k15o,559,3,2,3,3,2,3,5
QULf,26,3,3,3,2,3,3,6
JrAX,576,3,3,2,2,3,2,5
pviP,170,3,3,3,3,4,4,8
67Wc,336,2,2,2,1,2,2,3
ZUTp,195,1,1,2,2,2,1,2
7k69,528,2,2,1,2,2,2,3
oHkD,492,4,3,4,3,4,4,10
rSPA,403,3,3,3,3,2,3,6
eaYK,524,3,3,3,2,3,3,4
PBDn,730,2,2,3,3,3,3,5
4sxt,410,3,3,3,2,3,3,6
NA8U,480,3,3,3,0,4,4,8
8A5W,484,3,3,3,3,3,3,7
EdSh,633,2,1,3,2,4,3,5
ZT2V,376,2,3,3,2,3,3,5
zmak,107,1,1,2,2,1,2,3
YFhm,644,2,2,3,3,3,4,6
7p8J,245,3,3,3,3,3,3,5
54fp,398,2,2,2,2,3,3,3
Y8tP,3,2,2,3,3,3,3,6
RxoL,396,3,3,3,3,2,4,8
67io,731,3,3,3,3,3,3,6
uA4x,260,3,3,3,3,3,4,7
DzH1,181,2,2,3,2,3,3,7
d9KY,68,1,1,1,3,2,1,3
b9XQ,700,3,2,2,1,2,4,4
XTXJ,277,3,3,3,3,3,3,8
h5j8,618,2,2,3,3,3,2,4
J67i,251,2,2,3,3,1,2,3
xY3D,120,3,2,3,3,3,3,6
q3jE,11,3,3,3,3,4,3,7
r9CH,303,3,3,3,3,3,3,5
sLXf,69,2,2,3,3,3,2,5
3dRq,193,2,1,2,3,2,2,4
rHEW,81,3,3,2,2,3,3,4
CrF8,366,2,3,3,3,3,3,6
yGcS,61,3,2,3,3,4,4,7
Q4q1,404,1,1,2,1,1,1,2
mYAC,30,2,2,2,2,2,1,3
HRVr,244,1,1,2,2,2,2,3
RQ18,221,2,2,3,3,2,3,5
myUS,278,2,2,2,0,2,3,4
Mu4x,605,2,2,3,2,2,3,3
mAyy,523,2,2,3,3,2,3,7
EmVe,596,1,2,2,2,2,1,2
MenK,442,3,2,3,3,2,3,6
wPmK,640,2,3,3,2,2,2,4
d8fE,318,3,3,3,3,3,3,6
7kGt,397,2,2,3,2,2,2,3
pJrA,93,2,2,3,3,1,1,3
DT7R,597,3,3,3,3,3,3,6
6ici,206,3,4,3,3,2,3,7
YM1r,442,2,3,3,2,3,3,6
VhH3,607,3,3,3,3,3,3,7
Q4mb,221,3,3,3,4,4,4,7
fKPU,610,2,2,3,2,3,3,3
spr4,346,2,1,3,1,3,3,3
4hMW,58,2,3,2,3,3,3,6
XgDZ,369,3,3,3,3,3,3,6
mjE4,611,2,3,3,0,1,2,3
1mtQ,205,3,2,3,3,3,3,4
ad3j,597,3,3,3,0,3,4,7
AuM2,136,3,3,3,3,3,3,4
BxQy,565,1,2,3,2,2,2,4
MahC,553,2,3,3,1,2,2,4
dAXy,441,2,2,3,2,2,3,5
NgFt,654,3,2,3,0,3,3,6
uTth,597,2,2,3,0,3,3,6
z5Tk,51,2,1,2,1,2,2,3
Gv7R,688,3,2,3,2,3,3,3
uaUt,703,2,3,3,3,3,2,4
fixY,558,2,2,3,2,2,2,3
xuEu,680,3,3,3,3,2,4,8
cpf1,343,3,2,3,3,3,3,6
QW7B,532,2,2,2,2,2,2,4
sDyR,204,2,2,2,0,3,2,5
ZX9D,543,2,2,3,3,3,3,5
2dVN,657,3,2,3,3,3,2,5
xoVS,133,2,2,3,3,2,3,5
PgkB,201,1,2,3,3,3,3,3
XrrD,682,2,2,3,3,2,3,4
jeL1,451,2,2,4,2,4,2,4
6YE7,28,2,2,3,2,2,3,4
C59e,677,1,2,1,1,2,1,2
2uBd,479,2,2,3,2,2,2,4
tuqm,128,2,2,4,2,4,4,4
ehA7,659,2,2,3,2,3,2,4
CF6h,75,3,3,3,3,3,4,7
Aqqx,197,2,3,2,3,4,4,4
GeQs,12,2,2,2,2,3,3,3
yzAe,395,2,2,3,2,2,3,4
5sXz,182,3,4,3,3,3,3,8
FNK2,5,1,2,3,2,4,4,6
MpEy,423,2,2,2,2,3,3,4
52uJ,312,3,2,3,2,2,2,5
yYTP,625,2,2,3,3,3,3,6
T3kc,500,3,3,3,3,3,3,5
iKsZ,294,3,3,4,3,4,4,6
o4gu,293,3,3,3,3,3,3,6
52Mb,295,2,3,2,2,3,3,4
5ARU,420,2,3,2,3,3,3,4
HvBX,728,3,2,3,2,3,4,6
xoM3,423,3,3,2,2,3,2,6
vfVJ,741,2,2,3,1,2,4,3
AJdH,289,2,2,3,3,3,3,5
x5jD,575,2,3,2,3,3,3,5
7JHv,478,3,3,3,3,3,2,7
Ua2y,20,2,3,2,2,3,3,4
xZK1,18,3,2,3,3,3,3,5
hLPm,585,2,2,3,2,3,2,3
k1TW,526,1,2,3,3,3,3,4
GHya,723,3,2,3,2,2,3,6
MVkk,232,3,3,3,3,3,3,7
Z6BL,173,3,2,3,3,2,3,5
xyqm,354,3,3,3,2,2,1,6
fZzi,215,2,2,3,1,3,2,4
DtmW,64,2,1,2,2,2,2,3
yThP,655,3,2,3,2,3,2,4
2pqV,448,2,2,3,3,4,4,7
CSks,206,2,2,1,1,3,4,3
DFbu,445,3,2,3,3,3,3,5
QEeY,542,3,2,3,2,3,3,6
iEx4,394,3,2,3,2,3,2,4
eRug,295,3,2,4,0,3,3,7
dvnA,35,2,2,2,2,2,1,3
NEna,667,2,2,3,2,2,3,5
mBc5,421,2,3,3,2,3,3,6
Hnbs,67,1,2,2,2,3,2,3
YZu8,70,4,3,3,2,3,4,7
4NqC,325,3,3,3,3,2,3,7
nS9Y,152,2,2,2,3,3,3,3
qKpW,366,3,2,3,3,3,2,5
nnLm,430,3,3,3,2,2,3,4
gWAe,560,3,3,3,3,3,3,8
pvqh,688,3,4,3,2,2,3,6
Xjyh,256,2,2,3,2,3,3,5
XF73,448,3,3,3,3,3,3,7
QzBE,124,2,2,3,1,3,3,5
uYmR,339,3,3,3,3,3,3,7
srKK,110,2,2,2,3,3,3,4
XDYV,22,3,2,3,3,4,2,6
ASSs,233,3,3,3,3,3,4,7
KiDQ,482,3,2,4,3,4,4,8
ts17,731,2,2,2,2,3,2,4
ULgS,112,3,2,3,3,3,4,7
uBPG,557,3,3,3,3,2,2,6
NFtC,499,2,3,2,2,1,3,4
cUzR,288,3,3,3,2,3,4,6
fa2k,477,3,3,3,3,3,4,7
Lfeq,520,2,2,3,2,3,2,4
VkDm,279,2,2,2,0,3,2,4
BRiQ,664,2,2,3,2,2,3,4
ADoW,270,3,3,3,3,3,4,8
McSN,612,2,2,2,3,3,3,4
F3Tf,676,3,2,2,2,3,3,4
wamZ,351,3,3,3,3,3,3,6
Xuif,20,2,2,4,2,4,4,6
tvTL,509,3,3,3,4,4,4,7
GTAG,421,3,3,4,4,3,3,8
E6GM,52,2,3,3,3,4,3,5
vHhY,255,2,2,2,2,3,2,4
3oh4,410,3,3,3,0,3,3,7
by9C,443,3,3,3,3,3,2,5
Ltma,588,3,2,2,0,3,2,4
iESu,647,1,2,3,3,3,3,4
6vgG,570,2,2,2,1,1,3,5
6oqd,332,1,1,3,0,1,3,3
Sd9v,42,2,1,3,2,3,1,4
E7wy,470,2,2,3,2,2,3,3
Pc8g,712,3,2,3,2,3,3,6
oaqC,208,2,2,2,2,2,1,3
PiER,602,4,4,3,3,3,4,9
XaBQ,560,3,3,3,0,3,2,7
GaqR,4,3,3,2,3,2,2,6
VG65,662,3,4,3,3,3,4,7
ZuFx,225,3,3,3,2,3,3,7
aEjY,517,3,3,3,2,2,3,5
bfNz,690,2,2,3,3,2,4,6
cuKy,76,3,2,3,2,2,2,4
4wd1,89,3,3,3,3,3,3,7
bU6k,138,3,1,3,0,3,1,4
de5j,93,2,2,2,3,2,2,4
1W1G,433,3,3,3,3,3,3,7
mnp4,670,3,3,3,0,4,3,7
MjPX,203,3,2,3,3,3,3,5
1rAQ,691,3,3,3,3,3,3,5
TJLy,215,2,2,2,2,3,3,3
zhkp,450,3,2,3,1,1,3,3
r3Rq,329,2,2,3,2,2,2,3
vRCA,160,2,2,3,1,3,3,3
WMJ8,465,3,3,3,3,3,3,8
BHiK,351,2,2,2,2,2,3,4
KKzc,659,3,2,3,3,3,3,6
S1Pc,80,2,2,3,2,3,3,4
qKfv,84,3,3,3,3,3,4,7
ofQc,734,3,3,3,3,4,3,6
6i7X,539,3,3,3,4,4,3,8
i2sZ,708,1,1,2,3,1,1,3
HUia,541,2,2,3,2,2,4,6
8K9b,285,2,2,3,2,2,2,3
aUfY,85,3,2,3,3,2,3,6
8s6M,537,3,3,3,3,3,3,8
4yeM,294,3,3,3,3,3,2,6
Giw1,548,3,3,3,3,3,3,8
FuqW,87,2,2,3,2,2,2,3
reoo,53,3,3,3,3,4,4,7
jYwR,35,3,3,3,4,2,1,3
F4As,687,3,3,3,4,2,3,7
Gp3Q,717,3,2,3,3,3,4,8
dV5C,207,4,4,3,3,3,4,8
1YG6,724,1,2,3,2,3,2,3
uUdr,101,1,2,2,2,2,2,3
pMmH,742,2,1,2,0,1,1,2
nJEp,445,3,3,3,3,2,3,6
ZJ1m,167,3,2,3,2,3,2,3
iDgf,56,2,2,2,1,3,3,4
zP7a,186,3,4,3,3,4,4,8
Erkf,660,3,2,3,0,3,4,6
9e5K,699,3,3,3,3,3,3,6
sQon,554,3,2,2,2,4,4,5
MJSv,144,3,3,3,4,2,3,7
nvJH,127,2,1,3,2,2,2,4
ecm3,304,3,3,3,3,3,3,7
PJMk,575,4,3,3,3,3,3,8
v2y1,619,3,3,3,3,3,4,8
Aujd,149,2,3,3,3,3,3,4
5brW,548,3,3,3,3,3,3,8
PLuj,433,3,3,3,3,3,3,8
Vryc,617,2,3,4,4,3,3,6
WfDt,425,2,2,2,2,2,1,3
iJdf,586,2,2,3,3,2,3,4
WXT3,184,2,2,3,3,2,4,7
39re,190,3,2,3,0,3,4,5
2Awt,243,3,3,3,3,3,3,7
1RUg,737,3,3,3,3,2,3,7
Jr2M,369,3,3,2,2,4,4,6
Vpeg,571,3,2,2,3,2,4,5
wVcx,728,3,2,1,0,3,3,4
dbfh,744,2,3,3,2,2,2,4
uNMp,101,1,1,1,2,1,1,2
p5gt,652,2,3,3,2,3,3,6
tzE1,17,3,2,3,2,2,3,6
1m5N,513,3,3,3,0,3,3,7
9WD2,350,2,2,2,2,1,1,3
J34J,153,2,2,2,2,1,2,3
2zQM,41,2,2,3,3,3,3,4
EntV,110,2,2,3,3,3,3,4
4dhj,173,2,2,3,3,3,3,4
k4eo,426,2,2,2,1,1,3,3
SD1U,49,3,3,2,2,2,3,5
zaxD,38,3,2,2,3,2,2,4
muik,423,2,2,2,2,2,2,4
pwju,675,1,1,3,3,3,3,2
p7w1,340,2,4,3,3,2,3,7
R8yB,199,3,2,3,2,2,3,4
xLdc,31,2,2,2,3,3,3,4
GK37,451,2,2,2,2,2,2,4
yeSY,628,3,3,3,0,3,3,7
348d,720,2,3,3,3,3,3,6
jVHj,551,3,2,3,3,3,3,5
8paW,682,2,2,3,2,2,3,4
8QyC,230,2,2,2,2,2,3,3
YqQx,273,2,2,3,3,3,4,7
FQNY,449,3,3,3,3,2,4,6
SULz,166,3,3,3,2,3,2,3
n4At,289,3,3,3,3,2,4,7
7Nqy,491,3,2,3,3,2,2,6
9sPt,325,3,3,3,3,3,3,7
kRbC,595,2,2,3,0,4,4,4
3xVH,674,3,3,3,3,2,4,8
tqNa,563,3,1,3,2,2,3,4
4vER,375,3,3,2,3,2,2,4
uSZp,648,2,1,1,0,1,3,3
1xnY,740,3,3,3,4,3,4,7
fJxh,445,3,2,3,3,3,4,7
JpRN,151,3,3,3,3,3,3,6
WTUD,38,2,3,3,2,3,2,5
ixuV,203,3,2,3,2,3,1,4
6zCY,477,3,3,3,3,3,3,7
GjSV,503,3,2,3,0,4,4,7
YmoZ,361,2,3,4,4,3,4,7
mZrN,210,2,2,2,2,3,3,4
mnCP,397,2,2,3,4,3,4,6
jmwd,732,2,2,3,2,3,3,4
oJqE,122,3,3,3,3,4,4,7
JjQD,573,3,3,3,3,2,2,6
tosr,737,2,3,3,3,3,3,7
Qbf8,345,1,1,1,1,1,1,1
jk5n,333,2,3,3,3,2,3,5
dXUe,418,2,1,2,1,2,2,3
P1m6,646,3,3,3,3,3,3,6
dno3,595,3,3,3,3,4,3,7
Bxk6,514,3,2,3,3,3,4,7
ToFj,301,3,3,3,3,3,3,7
BJLd,311,2,2,2,2,2,2,4
4Xk2,388,3,2,3,3,3,3,7
1u3v,226,3,3,3,4,4,4,8
PU5Z,388,3,3,3,3,1,3,7
fkkh,233,3,3,2,3,3,2,6
u3MZ,689,2,2,2,2,2,2,4
hxpT,739,3,3,3,2,3,4,5
BQjN,130,2,3,3,2,3,4,6
Vip8,91,3,3,3,2,3,4,7
FJMN,675,3,3,3,3,3,3,7
3scE,353,2,1,2,2,2,2,3
uof5,231,2,2,3,3,2,2,6
jGj9,453,3,3,3,3,3,2,5
3w2X,288,2,1,2,2,2,1,4
EbkN,722,2,1,3,3,2,2,4
cV5e,61,2,2,3,2,2,3,5
MFaV,115,2,1,2,2,2,2,3
kjkQ,118,2,2,3,3,3,2,4
K7JS,56,3,3,3,4,3,4,7
iqG7,274,3,2,3,3,3,3,7
cT7w,260,2,2,3,2,2,2,5
Ysyo,425,2,2,3,2,2,4,4
7GaW,408,2,2,2,3,2,2,3
WysR,422,3,3,3,3,3,3,7
nskZ,514,2,2,3,3,3,3,5
bGf8,90,2,2,3,2,2,3,3
C3MZ,392,2,3,4,3,3,4,7
cWWm,649,3,3,3,0,2,3,7
VYDL,175,1,2,3,2,2,2,3
3MkS,264,2,1,2,2,2,2,3
7f5M,190,2,2,3,3,3,3,5
Zmsd,557,2,2,3,2,2,3,6
QpbU,543,2,2,3,3,3,3,6
TWvM,66,2,2,2,2,2,2,3
fBZJ,163,3,3,2,3,3,2,5
t1fD,356,2,2,3,3,3,2,4
qHQ5,345,3,3,3,3,3,2,6
w1DB,406,3,2,2,3,2,3,5
9DVR,18,2,2,3,0,2,2,6
FEMd,640,3,3,3,4,4,4,8
ye2D,681,2,2,3,2,2,2,4
EgDM,552,2,2,2,2,2,2,3
CKVY,724,1,1,1,2,4,2,2
eNVT,522,3,3,3,3,3,3,6
HBN5,199,3,3,3,1,3,3,4
aAr2,594,2,2,3,3,3,3,7
wmQa,628,3,3,3,0,4,4,6
Lthz,222,2,2,3,3,4,3,6
8R9o,336,2,3,3,4,3,3,5
NV5P,157,2,2,2,1,3,3,3
ojdg,127,2,3,2,2,1,1,4
jL3v,138,3,3,3,3,3,2,5
8NqU,386,2,2,1,1,1,2,3
cfDb,613,2,2,3,3,2,2,5
sBzY,389,3,2,3,2,1,3,3
NQ1U,385,1,1,2,0,1,2,3
hEv2,3,3,3,3,2,2,2,5
yarE,737,2,2,3,2,2,1,3
3J8J,481,3,3,3,2,2,2,4
J5vp,170,2,2,4,1,4,3,6
UWcu,481,2,2,3,2,1,2,3
DaDM,544,2,2,3,4,3,1,3
NMnb,196,3,2,3,2,3,4,6
VTDH,120,2,3,2,3,2,3,4
SCaQ,12,2,2,2,0,2,2,3
rTSN,205,3,3,3,2,3,3,7
89dd,60,2,2,3,2,2,2,3
4EHF,676,2,2,3,3,3,3,4
GasB,547,2,2,3,3,2,2,6
EEcs,508,3,3,3,2,2,4,7
m2qa,28,3,3,3,3,3,2,7
iGHZ,180,2,2,3,2,1,2,6
ubDq,110,3,3,3,2,3,3,6
44M4,396,2,2,2,2,2,3,6
9wjp,630,2,2,3,1,2,2,4
jpSs,142,3,1,3,2,2,3,3
zq4b,531,2,2,2,2,3,2,5
VYp7,361,2,2,3,0,3,3,4
vRuP,564,2,2,3,3,3,3,6
zAgp,532,2,2,2,1,2,2,3
Txfk,53,3,1,3,2,3,3,5
QALZ,645,2,1,2,1,2,2,3
WWEY,417,2,2,4,2,2,3,3
5wVu,430,2,2,2,1,3,2,3
WtRZ,465,2,2,2,2,2,1,3
J8rV,87,3,2,2,3,2,2,6
9m1D,5,3,2,3,3,2,3,6
ZgBD,17,2,2,3,2,1,3,4
4yNc,689,2,1,1,2,2,2,4
We5N,168,3,2,3,3,2,1,4
SHfC,63,3,3,4,3,2,4,6
4Fb2,542,4,3,3,3,3,3,8
TWMN,200,3,3,3,2,2,2,6
9xtB,540,3,2,3,0,2,4,6
pSr8,204,2,2,3,0,3,3,5
YP7R,335,3,2,3,3,3,3,7
sNne,366,3,3,3,4,2,3,7
aYWY,40,2,2,3,1,3,1,2
nkBT,239,3,3,3,3,3,3,7
CHcP,246,2,2,3,2,3,2,3
1JBC,107,1,2,3,3,4,2,3
syUK,547,3,3,3,3,2,3,6
okDa,640,3,3,3,3,3,2,4
FwBy,653,2,2,2,3,2,2,4
mdVQ,235,2,2,3,2,2,3,3
w83v,641,3,2,3,3,3,3,6
4ezZ,576,3,2,3,2,2,3,5
oyu5,135,2,1,3,2,3,3,3
gNC9,262,3,3,3,3,3,3,6
vBmf,362,3,3,4,4,4,4,8
Biea,457,2,2,3,2,3,2,5
egee,254,3,3,3,3,3,4,7
